股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
002882.SZ,金龙羽,20.46,10.000,20240111,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,5,20537844.0,1.665514,30149644.0,2.444982,-9611800.0,买入金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,1580,002882
002882.SZ,金龙羽,20.46,10.000,20240111,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,51187042.0,1.535926,30193153.0,0.90598,20993889.0,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1580,002882
002862.SZ,实丰文化,18.20,-6.186,20240111,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,28443221.5,1.469891,47610188.4,2.460403,-19166966.9,买入金额最大的前5名,"连续三个交易日内,跌幅偏离值累计达20%的证券",三日榜,1646,002862
001339.SZ,智微智能,41.91,10.000,20240111,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,47145884.0,4.323206,115623.0,0.010602,47030261.0,买入金额最大的前5名,日换手率达20%的证券,单日榜,344,001339
002403.SZ,爱仕达,11.64,-9.977,20240111,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,3,381591.0,0.037783,24042228.5,2.380549,-23660637.5,卖出金额最大的前5名,日振幅值达15%的证券;日跌幅偏离值达7%的证券,单日榜,3325,002403
002395.SZ,双象股份,21.90,-5.195,20240111,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,43512.0,0.004044,23185201.0,2.154882,-23141689.0,卖出金额最大的前5名,日振幅值达15%的证券,单日榜,3332,002395
002882.SZ,金龙羽,20.46,10.000,20240111,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,51187042.0,1.535926,30193153.0,0.90598,20993889.0,卖出金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1580,002882
002882.SZ,金龙羽,20.46,10.000,20240111,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,20537844.0,1.665514,30149644.0,2.444982,-9611800.0,卖出金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,1580,002882
002862.SZ,实丰文化,18.20,-6.186,20240111,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,28443221.5,1.469891,47610188.4,2.460403,-19166966.9,卖出金额最大的前5名,"连续三个交易日内,跌幅偏离值累计达20%的证券",三日榜,1646,002862
002862.SZ,实丰文化,18.20,-6.186,20240111,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,208317.0,0.048371,18949661.0,4.400072,-18741344.0,卖出金额最大的前5名,日跌幅偏离值达7%的证券,单日榜,1646,002862
002738.SZ,中矿资源,40.70,10.000,20240111,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,108126252.2,5.778123,262611.0,0.014034,107863641.2,买入金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,2199,002738
